,index,Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Check,Active Cases
27,60542,,Bolivia,-16.2902,-63.5887,2020-09-23,131990,7731,91556,131990,32703
28,60543,,Bosnia and Herzegovina,43.9159,17.6791,2020-09-23,26081,790,18634,26081,6657
29,60544,,Botswana,-22.3285,24.6849,2020-09-23,2567,13,624,2567,1930
30,60545,,Brazil,-14.235,-51.9253,2020-09-23,4591364,138105,4046827,4591364,406432
31,60546,,Brunei,4.5353,114.7277,2020-09-23,145,3,142,145,0
32,60547,,Bulgaria,42.7339,25.4858,2020-09-23,19283,779,13867,19283,4637
33,60548,,Burkina Faso,12.2383,-1.5616,2020-09-23,1929,56,1252,1929,621
34,60549,,Burma,21.9162,95.956,2020-09-23,7827,133,2085,7827,5609
35,60550,,Burundi,-3.3731,29.9189,2020-09-23,476,1,462,476,13
36,60551,,Cabo Verde,16.5388,-23.0418,2020-09-23,5412,54,4837,5412,521
37,60552,,Cambodia,11.55,104.9167,2020-09-23,275,0,274,275,1
38,60553,,Cameroon,3.848,11.5021,2020-09-23,20690,416,19124,20690,1150
39,60554,,Central African Republic,6.6111,20.9394,2020-09-23,4802,62,1830,4802,2910
40,60555,,Chad,15.4542,18.7322,2020-09-23,1164,82,997,1164,85
41,60556,,Chile,-35.6751,-71.543,2020-09-23,449903,12345,425165,449903,12393
42,60557,Anhui,China,31.8257,117.2264,2020-09-23,991,6,985,991,0
43,60558,Beijing,China,40.1824,116.4142,2020-09-23,935,9,926,935,0
44,60559,Chongqing,China,30.0572,107.874,2020-09-23,584,6,578,584,0
45,60560,Fujian,China,26.0789,117.9874,2020-09-23,396,1,381,396,14
46,60561,Gansu,China,35.7518,104.2861,2020-09-23,170,2,168,170,0
47,60562,Guangdong,China,23.3417,113.4244,2020-09-23,1807,8,1780,1807,19
48,60563,Guangxi,China,23.8298,108.7881,2020-09-23,259,2,254,259,3
49,60564,Guizhou,China,26.8154,106.8748,2020-09-23,147,2,145,147,0
50,60565,Hainan,China,19.1959,109.7453,2020-09-23,171,6,165,171,0
51,60566,Heilongjiang,China,47.862,127.7615,2020-09-23,948,13,935,948,0
52,60567,Hong Kong,China,22.3,114.2,2020-09-23,5049,104,4749,5049,196
53,60568,Hubei,China,30.9756,112.2707,2020-09-23,68139,4512,63627,68139,0
54,60569,Hunan,China,27.6104,111.7088,2020-09-23,1019,4,1015,1019,0
55,60570,Inner Mongolia,China,44.0935,113.9448,2020-09-23,263,1,259,263,3
56,60571,Jiangsu,China,32.9711,119.455,2020-09-23,666,0,664,666,2
57,60572,Jiangxi,China,27.614,115.7221,2020-09-23,935,1,934,935,0
58,60573,Jilin,China,43.6661,126.1923,2020-09-23,157,2,155,157,0
59,60574,Liaoning,China,41.2956,122.6085,2020-09-23,267,2,262,267,3
60,60575,Macau,China,22.1667,113.55,2020-09-23,46,0,46,46,0
61,60576,Ningxia,China,37.2692,106.1655,2020-09-23,75,0,75,75,0
62,60577,Qinghai,China,35.7452,95.9956,2020-09-23,18,0,18,18,0
63,60578,Shaanxi,China,35.1917,108.8701,2020-09-23,402,3,374,402,25
64,60579,Shandong,China,36.3427,118.1498,2020-09-23,832,7,816,832,9
65,60580,Shanghai,China,31.202,121.4491,2020-09-23,977,7,926,977,44
66,60581,Shanxi,China,37.5777,112.2922,2020-09-23,203,0,203,203,0
67,60582,Sichuan,China,30.6171,102.7103,2020-09-23,675,3,656,675,16
68,60583,Tianjin,China,39.3054,117.323,2020-09-23,239,3,229,239,7
69,60584,Tibet,China,31.6927,88.0924,2020-09-23,1,0,1,1,0
70,60585,Xinjiang,China,41.1129,85.2401,2020-09-23,902,3,899,902,0
71,60586,Yunnan,China,24.974,101.487,2020-09-23,209,2,196,209,11
72,60587,Zhejiang,China,29.1832,120.0934,2020-09-23,1282,1,1272,1282,9
73,60588,,Colombia,4.5709,-74.2973,2020-09-23,784268,24746,662277,784268,97245
74,60589,,Comoros,-11.6455,43.3333,2020-09-23,470,7,453,470,10
75,60590,,Congo (Brazzaville),-0.228,15.8277,2020-09-23,5005,89,3887,5005,1029
76,60591,,Congo (Kinshasa),-4.0383,21.7587,2020-09-23,10537,271,10041,10537,225
77,60592,,Costa Rica,9.7489,-83.7534,2020-09-23,68059,781,26136,68059,41142
78,60593,,Cote d'Ivoire,7.54,-5.5471,2020-09-23,19430,120,18875,19430,435
79,60594,,Croatia,45.1,15.2,2020-09-23,15340,257,13815,15340,1268
80,60595,,Cuba,21.521757,-77.78116700000002,2020-09-23,5270,118,4582,5270,570
81,60596,,Cyprus,35.1264,33.4299,2020-09-23,1654,22,1369,1654,263
82,60597,,Czechia,49.8175,15.473,2020-09-23,55464,555,26709,55464,28200
83,60598,Faroe Islands,Denmark,61.8926,-6.9118,2020-09-23,451,0,416,451,35
84,60599,Greenland,Denmark,71.7069,-42.6043,2020-09-23,14,0,14,14,0
85,60600,,Denmark,56.2639,9.5018,2020-09-23,24357,643,18359,24357,5355
86,60601,,Diamond Princess,0.0,0.0,2020-09-23,712,13,651,712,48
87,60602,,Djibouti,11.8251,42.5903,2020-09-23,5407,61,5338,5407,8
88,60603,,Dominica,15.415,-61.371,2020-09-23,24,0,18,24,6
89,60604,,Dominican Republic,18.7357,-70.1627,2020-09-23,109737,2074,83434,109737,24229
90,60605,,Ecuador,-1.8312,-78.1834,2020-09-23,129892,11171,102852,129892,15869
91,60606,,Egypt,26.820553000000004,30.802498,2020-09-23,102375,5822,91843,102375,4710
92,60607,,El Salvador,13.7942,-88.8965,2020-09-23,27954,819,22113,27954,5022
93,60608,,Equatorial Guinea,1.6508,10.2679,2020-09-23,5018,83,4509,5018,426
94,60609,,Eritrea,15.1794,39.7823,2020-09-23,364,0,309,364,55
95,60610,,Estonia,58.5953,25.0136,2020-09-23,3033,64,2387,3033,582
96,60611,,Eswatini,-26.5225,31.4659,2020-09-23,5343,108,4693,5343,542
97,60612,,Ethiopia,9.145,40.4897,2020-09-23,71083,1141,29253,71083,40689
98,60613,,Fiji,-17.7134,178.065,2020-09-23,32,2,28,32,2
99,60614,,Finland,61.92411,25.748151,2020-09-23,9288,343,7850,9288,1095
100,60615,French Guiana,France,3.9339,-53.1258,2020-09-23,9762,65,9431,9762,266
101,60616,French Polynesia,France,-17.6797,149.4068,2020-09-23,1469,5,1237,1469,227
102,60617,Guadeloupe,France,16.265,-61.551,2020-09-23,4487,42,2199,4487,2246
103,60618,Martinique,France,14.6415,-61.0242,2020-09-23,1290,20,98,1290,1172
104,60619,Mayotte,France,-12.8275,45.166244,2020-09-23,3541,40,2964,3541,537
105,60620,New Caledonia,France,-20.904305,165.618042,2020-09-23,26,0,26,26,0
106,60621,Reunion,France,-21.1151,55.5364,2020-09-23,3501,15,2482,3501,1004
107,60622,Saint Barthelemy,France,17.9,-62.8333,2020-09-23,45,0,25,45,20
108,60623,Saint Pierre and Miquelon,France,46.8852,-56.3159,2020-09-23,12,0,6,12,6
109,60624,St Martin,France,18.0708,-63.0501,2020-09-23,367,8,273,367,86
110,60625,,France,46.2276,2.2137,2020-09-23,483956,31252,77757,483956,374947
